Date,Total,Cash,Hold Number,Code
2016-01-21,1000000,1000000,0,NA
2016-01-22,1000000,1000000,0,NA
2016-01-25,1000000,1000000,0,NA
2016-01-26,1000000,1000000,0,NA
2016-01-27,1000000,1000000,0,NA
2016-01-28,1000000,1000000,0,NA
2016-01-29,1000000,1000000,0,NA
2016-02-01,1000000,1000000,0,NA
2016-02-02,1000000,1000000,0,NA
2016-02-03,1000000,1000000,0,NA
2016-02-04,1000000,1000000,0,NA
2016-02-05,1000000,1000000,0,NA
2016-02-15,1000000,1000000,0,NA
2016-02-16,999000.33,-673.62,1000,NA
2016-02-17,1005091.19,-673.62,1000,399006
2016-02-18,993999.97,-673.62,1000,399006
2016-02-19,1003123.10,-673.62,1000,399006
2016-02-22,1018812.43,-673.62,1000,399006
2016-02-23,1006352.40,-673.62,1000,399006
2016-02-24,997825.74,-728.52,2999,399008
2016-02-25,921233.10,-728.52,2999,399008
2016-02-26,920687.35,-728.52,2999,399008
2016-02-29,870014.39,870014.39,3870,399008
2016-03-01,870014.39,870014.39,3870,NA
2016-03-02,869144.76,-485.14,4740,NA
2016-03-03,871165.13,-485.14,4740,399300
2016-03-04,881273.51,-485.14,4740,399300
2016-03-07,884394.26,-485.14,4740,399300
2016-03-08,885201.66,-485.14,4740,399300
2016-03-09,875008.35,-485.14,4740,399300
2016-03-10,857402.72,857402.72,5599,399300
2016-03-11,857402.72,857402.72,5599,NA
2016-03-14,857402.72,857402.72,5599,NA
2016-03-15,856547.93,1759.09,6454,NA
2016-03-16,860788.27,1759.09,6454,399300
2016-03-17,868550.96,237.07,8190,399006
2016-03-18,906230.99,237.07,8190,399006
2016-03-21,926683.22,237.07,8190,399006
2016-03-22,924465.10,237.07,8190,399006
2016-03-23,940025.17,237.07,8190,399006
2016-03-24,923661.39,237.07,8190,399006
2016-03-25,922128.85,237.07,8190,399006
2016-03-28,915306.03,237.07,8190,399006
2016-03-29,895697.04,237.07,8190,399006
2016-03-30,935730.80,237.07,8190,399006
2016-03-31,931364.05,237.07,8190,399006
2016-04-01,917670.58,237.07,8190,399006
2016-04-05,948517.39,237.07,8190,399006
2016-04-06,953896.80,135.73,10100,399008
2016-04-07,937808.41,135.73,10100,399008
2016-04-08,930345.60,135.73,10100,399008
2016-04-11,948026.59,135.73,10100,399008
2016-04-12,939554.45,135.73,10100,399008
2016-04-13,952158.37,135.73,10100,399008
2016-04-14,961428.08,135.73,10100,399008
2016-04-15,958708.22,135.73,10100,399008
2016-04-18,945685.86,135.73,10100,399008
2016-04-19,948966.18,135.73,10100,399008
2016-04-20,907311.55,907311.55,11008,399008
2016-04-21,907311.55,907311.55,11008,NA
2016-04-22,907311.55,907311.55,11008,NA
2016-04-25,907311.55,907311.55,11008,NA
2016-04-26,907311.55,907311.55,11008,NA
2016-04-27,907311.55,907311.55,11008,NA
2016-04-28,907311.55,907311.55,11008,NA
2016-04-29,907311.55,907311.55,11008,NA
2016-05-03,907311.55,907311.55,11008,NA
2016-05-04,907311.55,907311.55,11008,NA
2016-05-05,907311.55,907311.55,11008,NA
2016-05-06,907311.55,907311.55,11008,NA
2016-05-09,907311.55,907311.55,11008,NA
2016-05-10,907311.55,907311.55,11008,NA
2016-05-11,907311.55,907311.55,11008,NA
2016-05-12,907311.55,907311.55,11008,NA
2016-05-13,907311.55,907311.55,11008,NA
2016-05-16,907311.55,907311.55,11008,NA
2016-05-17,907311.55,907311.55,11008,NA
2016-05-18,907311.55,907311.55,11008,NA
2016-05-19,907311.55,907311.55,11008,NA
2016-05-20,907311.55,907311.55,11008,NA
2016-05-23,907311.55,907311.55,11008,NA
2016-05-24,907311.55,907311.55,11008,NA
2016-05-25,907311.55,907311.55,11008,NA
2016-05-26,906406.22,1079.19,11913,NA
2016-05-27,897613.42,83.88,13709,399610
2016-05-30,897572.42,83.88,13709,399610
2016-05-31,935246.45,83.88,13709,399610
2016-06-01,938924.02,83.88,13709,399610
2016-06-02,941919.83,839.89,15594,399006
2016-06-03,947087.00,3520.07,17485,399610
2016-06-06,946028.96,329.53,19376,399006
2016-06-07,944922.14,329.53,19376,399006
2016-06-08,938667.94,3371.62,21251,399610
2016-06-13,883101.98,883101.98,22132,399610
2016-06-14,882219.14,-617.39,23015,NA
2016-06-15,912832.42,-617.39,23015,399008
2016-06-16,912041.78,-617.39,23015,399008
2016-06-17,916078.23,-617.39,23015,399008
2016-06-20,922839.66,-617.39,23015,399008
2016-06-21,913155.44,-617.39,23015,399008
2016-06-22,927602.89,-617.39,23015,399008
2016-06-23,923965.21,-617.39,23015,399008
2016-06-24,912855.16,912855.16,23929,399008
2016-06-27,911943.39,173.95,24841,NA
2016-06-28,920263.79,173.95,24841,399008
2016-06-29,920756.67,173.95,24841,399008
2016-06-30,919073.02,1223.54,26679,399006
2016-07-01,912228.47,1223.54,26679,399006
2016-07-04,927692.89,1223.54,26679,399006
2016-07-05,926585.43,1223.54,26679,399006
2016-07-06,924746.26,1223.54,26679,399006
2016-07-07,921599.41,1223.54,26679,399006
2016-07-08,923692.37,1223.54,26679,399006
2016-07-11,915281.80,1223.54,26679,399006
2016-07-12,927133.39,1223.54,26679,399006
2016-07-13,940912.95,-136.11,28562,399337
2016-07-14,941125.68,-136.11,28562,399337
2016-07-15,938166.77,1151.55,30439,399300
2016-07-18,934089.84,1151.55,30439,399300
2016-07-19,930146.47,1151.55,30439,399300
2016-07-20,925259.69,4320.66,32286,399610
2016-07-21,928119.20,4320.66,32286,399610
2016-07-22,928563.99,4320.66,32286,399610
2016-07-25,932135.23,4320.66,32286,399610
2016-07-26,940506.00,4320.66,32286,399610
2016-07-27,900878.53,-229.51,34085,399300
2016-07-28,901688.57,-229.51,34085,399300
2016-07-29,895973.79,895973.79,34983,399300
2016-08-01,895973.79,895973.79,34983,NA
2016-08-02,895973.79,895973.79,34983,NA
2016-08-03,895973.79,895973.79,34983,NA
2016-08-04,895973.79,895973.79,34983,NA
2016-08-05,895973.79,895973.79,34983,NA
2016-08-08,895973.79,895973.79,34983,NA
2016-08-09,895078.12,-591.65,35878,NA
2016-08-10,891326.85,-591.65,35878,399300
2016-08-11,888582.35,-591.65,35878,399300
2016-08-12,905322.42,-591.65,35878,399300
2016-08-15,930737.83,2089.24,37740,399004
2016-08-16,935343.05,2089.24,37740,399004
2016-08-17,933923.81,2089.24,37740,399004
2016-08-18,932196.07,2089.24,37740,399004
2016-08-19,930323.88,2089.24,37740,399004
2016-08-22,918368.66,2089.24,37740,399004
2016-08-23,920679.50,2089.24,37740,399004
2016-08-24,918708.72,2089.24,37740,399004
2016-08-25,912669.57,2089.24,37740,399004
2016-08-26,909483.73,737.89,39558,399006
2016-08-29,910915.89,737.89,39558,399006
2016-08-30,911883.26,737.89,39558,399006
2016-08-31,910317.46,737.89,39558,399006
2016-09-01,905082.93,905082.93,40463,399006
2016-09-02,905082.93,905082.93,40463,NA
2016-09-05,905082.93,905082.93,40463,NA
2016-09-06,904178.24,-516.42,41368,NA
2016-09-07,899789.15,-516.42,41368,399006
2016-09-08,904435.06,-516.42,41368,399006
2016-09-09,896091.15,-516.42,41368,399006
2016-09-12,871854.48,871854.48,42241,399006
2016-09-13,871854.48,871854.48,42241,NA
2016-09-14,871854.48,871854.48,42241,NA
2016-09-19,871854.48,871854.48,42241,NA
2016-09-20,871854.48,871854.48,42241,NA
2016-09-21,871854.48,871854.48,42241,NA
2016-09-22,870986.53,3037.62,43109,NA
2016-09-23,862329.04,862329.04,43969,399004
2016-09-26,862329.04,862329.04,43969,NA
2016-09-27,862329.04,862329.04,43969,NA
2016-09-28,862329.04,862329.04,43969,NA
2016-09-29,862329.04,862329.04,43969,NA
2016-09-30,862329.04,862329.04,43969,NA
2016-10-10,861467.73,164.82,44831,NA
2016-10-11,862400.61,164.82,44831,399006
2016-10-12,860220.34,360.50,46552,399008
2016-10-13,859927.15,360.50,46552,399008
2016-10-14,857763.90,360.50,46552,399008
2016-10-17,849911.78,360.50,46552,399008
2016-10-18,862409.63,360.50,46552,399008
2016-10-19,859238.89,360.50,46552,399008
2016-10-20,864052.72,360.50,46552,399008
2016-10-21,859725.65,360.50,46552,399008
